#This is a example output file that the script is generating. 
Snapshot ID,Snapshot name,VM name,VM exists,Snapshot size (GiB),Snapshot age (days)
b0e6a969-e213-42b0-b1ee-dba313432e61,third_party_backup_snapshot_b0e6a969-e213-42b0-b1ee-dba313432e61,srv-db-048,yes,10.56,7
6e068097-25e9-4977-8d72-48e2951f58d0,third_party_backup_snapshot_6e068097-25e9-4977-8d72-48e2951f58d0,srv-db-040,yes,5.15,7
cbceabde-eede-4b07-a623-a6895d59cd2a,third_party_backup_snapshot_cbceabde-eede-4b07-a623-a6895d59cd2a,royal-lynx-88,yes,2.54,7
5a8aaeca-1a50-4ec3-aabc-25fa3fe12e47,third_party_backup_snapshot_5a8aaeca-1a50-4ec3-aabc-25fa3fe12e47,rus-dc31,yes,3.83,7
ccc56569-f9e8-4369-a999-b735dd56cc94,third_party_backup_snapshot_ccc56569-f9e8-4369-a999-b735dd56cc94,srv-bkp-004,yes,3.94,7
550a1b46-ecab-4301-bc8f-7d292dea9493,third_party_backup_snapshot_550a1b46-ecab-4301-bc8f-7d292dea9493,amb-jump35,yes,2.42,7
1bac27a7-b386-47a4-8991-603f28c13091,third_party_backup_snapshot_1bac27a7-b386-47a4-8991-603f28c13091,sil-queue29,yes,4.21,7
75d66ed4-eb1f-49f2-910b-d1d033173470,third_party_backup_snapshot_75d66ed4-eb1f-49f2-910b-d1d033173470,ferret30.internal.example.net,yes,4.34,7
6601ddd0-3170-4437-a8f7-ef5a060edf5b,third_party_backup_snapshot_6601ddd0-3170-4437-a8f7-ef5a060edf5b,narwhal09.lab.example.org,yes,2.52,7
6651529e-8268-490b-a438-25b559e4b671,third_party_backup_snapshot_6651529e-8268-490b-a438-25b559e4b671,fox15.lab.example.org,yes,0.02,7
fbc9f87a-f668-4617-94a1-875d2db69edb,third_party_backup_snapshot_fbc9f87a-f668-4617-94a1-875d2db69edb,otter14.example.local,yes,unknown,7
c9535b63-ba81-4dd9-987e-f3446f3f920c,third_party_backup_snapshot_c9535b63-ba81-4dd9-987e-f3446f3f920c,wolverine78.example.local,yes,0.23,7
939b462d-e645-4129-a29c-2ae31d9af659,third_party_backup_snapshot_939b462d-e645-4129-a29c-2ae31d9af659,srv-mgmt-006,yes,16.11,7
85197ff4-006e-46e3-afa1-7735b572f3d0,third_party_backup_snapshot_85197ff4-006e-46e3-afa1-7735b572f3d0,srv-fw-056,yes,0.62,7
ebb7a385-aa0b-4b14-b2e9-702d11e9cdaa,third_party_backup_snapshot_ebb7a385-aa0b-4b14-b2e9-702d11e9cdaa,stoat41.corp.example,yes,0.33,7
81d2c7de-4ce1-4b90-a669-7833b841d0a0,third_party_backup_snapshot_81d2c7de-4ce1-4b90-a669-7833b841d0a0,bison53.lab.example.org,yes,0.8,7
8dedf9fb-4bb0-4f20-b27c-40266703b636,third_party_backup_snapshot_8dedf9fb-4bb0-4f20-b27c-40266703b636,srv-rds-054,yes,1.61,7
ad64b56c-610f-4a3f-b0bb-ac67aa38d0a1,third_party_backup_snapshot_ad64b56c-610f-4a3f-b0bb-ac67aa38d0a1,srv-print-052,yes,0.95,7
4dcabfb7-001a-4a8b-956f-03508c459ce2,third_party_backup_snapshot_4dcabfb7-001a-4a8b-956f-03508c459ce2,lynx56.example.local,yes,6.29,7
77097749-527e-4cfa-a79a-c9aa9b4e2c24,third_party_backup_snapshot_77097749-527e-4cfa-a79a-c9aa9b4e2c24,sle-rds66,yes,0.1,7
f5b78cc7-e6b3-4944-8b32-3e357922bac2,third_party_backup_snapshot_f5b78cc7-e6b3-4944-8b32-3e357922bac2,srv-web-037,yes,0.31,7
9e87e04c-a208-4977-a9f2-533683f4a9a9,third_party_backup_snapshot_9e87e04c-a208-4977-a9f2-533683f4a9a9,badger97.internal.example.net,yes,4.72,7
ce7ae7f6-3982-4cff-8f77-a665ac3c5640,third_party_backup_snapshot_ce7ae7f6-3982-4cff-8f77-a665ac3c5640,srv-dc-004,yes,0.25,7
79a28903-fbe3-4b24-beae-00320bd4a990,third_party_backup_snapshot_79a28903-fbe3-4b24-beae-00320bd4a990,sleepy-wolverine-81,yes,1.2,7
b24445a7-b7e5-4481-b1c6-81ec935f2b0a,third_party_backup_snapshot_b24445a7-b7e5-4481-b1c6-81ec935f2b0a,wit-mon32,yes,0.06,7
016b6287-b008-45cc-a7f3-6ae925c73c44,third_party_backup_snapshot_016b6287-b008-45cc-a7f3-6ae925c73c44,violet-wolverine-29,yes,0.53,7
b227462c-f53d-4330-8dda-24ba2d06e8cf,third_party_backup_snapshot_b227462c-f53d-4330-8dda-24ba2d06e8cf,sil-jump16,yes,2.12,7
76f2dbfe-cd29-436f-a222-82e174daaebf,third_party_backup_snapshot_76f2dbfe-cd29-436f-a222-82e174daaebf,caracal57.example.local,yes,0.4,7
81392443-e45b-412e-b822-5688d0a44432,third_party_backup_snapshot_81392443-e45b-412e-b822-5688d0a44432,sto-cache21,yes,1.13,7
7337c599-7984-4388-9c8a-ee30be6033f7,third_party_backup_snapshot_7337c599-7984-4388-9c8a-ee30be6033f7,caracal32.lab.example.org,yes,1.09,7
7c0e8cd8-8573-4793-8715-b2b9c40c5d91,third_party_backup_snapshot_7c0e8cd8-8573-4793-8715-b2b9c40c5d91,srv-mgmt-057,yes,0.21,7
3c07c574-4925-4af1-b6aa-e05b13d5f2f7,third_party_backup_snapshot_3c07c574-4925-4af1-b6aa-e05b13d5f2f7,kestrel41.example.local,yes,1.4,7
3b33f3d8-269c-4696-a36c-7b8714a0bccb,third_party_backup_snapshot_3b33f3d8-269c-4696-a36c-7b8714a0bccb,sil-dc91,yes,0.58,7
68586eba-6a34-4854-9071-4d5136c59dac,third_party_backup_snapshot_68586eba-6a34-4854-9071-4d5136c59dac,koala60.prod.example.io,yes,0.39,7
6b8e869f-d538-4b0e-b4f3-193c0ff0a55c,third_party_backup_snapshot_6b8e869f-d538-4b0e-b4f3-193c0ff0a55c,vio-app98,yes,14.59,7
018267c4-7a1b-4806-a160-a6b49360715f,third_party_backup_snapshot_018267c4-7a1b-4806-a160-a6b49360715f,ferret97.prod.example.io,yes,3.47,7
d5f25073-f414-42b1-a442-9ebbda7b9095,third_party_backup_snapshot_d5f25073-f414-42b1-a442-9ebbda7b9095,sto-jump63,yes,1.56,7
7c5308bf-6f92-425e-85df-16b6382c043f,third_party_backup_snapshot_7c5308bf-6f92-425e-85df-16b6382c043f,frozen-kestrel-86,yes,24.15,7
b963f37f-6781-4c1f-8c53-0e36addc3e13,third_party_backup_snapshot_b963f37f-6781-4c1f-8c53-0e36addc3e13,srv-cache-017,yes,0.95,7
06e745f9-88bc-439c-9f4c-3b79fb10987f,third_party_backup_snapshot_06e745f9-88bc-439c-9f4c-3b79fb10987f,sun-app11,yes,2.25,7
dde9f863-22bd-4388-adb9-9102a48b3dbe,third_party_backup_snapshot_dde9f863-22bd-4388-adb9-9102a48b3dbe,fuz-db34,yes,12.14,7
74672cd9-362f-4e5c-93cd-6268610cf373,third_party_backup_snapshot_74672cd9-362f-4e5c-93cd-6268610cf373,kestrel98.prod.example.io,yes,9.26,7
